AIRLINE_ID,PAYLOAD,FREIGHT,MAIL,AIRCRAFT_GROUP
19977,32640,1,0,6
19977,41971,0,1040,6
19977,31999,0,1858,6
19977,36804,0,0,6
19977,36640,0,0,6
19977,48470,55,23,6
19977,35090,865,0,6
19977,36804,181,0,6
19977,36867,0,0,6
19977,36158,0,1615,6
19977,32862,0,0,6
19977,100549,0,0,6
19977,82777,0,75,6
19977,35433,10,539,6
19977,42241,703,1350,6
19977,35372,0,40,6
19977,35936,0,0,6
19977,36733,55,1976,6
19977,34143,0,0,6
19977,36072,0,0,6
19977,42690,0,0,6
19977,35554,77,1604,6
19977,41831,0,65,6
19977,35832,0,97,6
19977,41556,11,0,6
19977,98334,306,361,6
19977,48320,0,1335,6
19977,82502,0,707,6
19977,43141,0,954,6
19977,48843,85,404,6
19977,41843,0,0,6
19977,46360,42,0,6
19977,34772,0,0,6
19977,38790,0,0,6
19977,36768,117,395,6
19977,35694,0,0,6
19977,48920,508,430,6
19977,290384,8694,0,6
19977,37980,0,679,6
19977,36271,0,649,6
19977,28852,24,260,6
19977,28356,23,0,6
19393,32200,85,0,6
19393,32200,1026,0,6
19393,32200,0,0,6
19393,32200,944,0,6
19393,32200,110,0,6
19393,32200,96,0,6
19393,32200,0,0,6
19393,32200,0,0,6
19393,32200,377,0,6
19393,32200,760,0,6
19393,43400,0,0,6
19393,32200,26,0,6
19393,32200,160,0,6
19393,32200,0,0,6
19393,43400,345,0,6
19393,32200,569,0,6
19393,32200,0,0,6
19393,43400,0,0,6
19393,32200,6,0,6
20452,21803,0,0,6
20452,21803,0,0,6
20452,21803,0,0,6
20452,21803,0,0,6
20452,19092,0,0,6
20452,19092,0,0,6
20452,21803,0,0,6
20452,21803,0,0,6
20452,19092,0,0,6
