AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CLASS,PASSENGERS,REGION
19393,11292,10994,F,513,D
19393,11292,12339,F,388,D
19393,11292,12954,F,383,D
19393,11292,13198,F,400,D
19393,11292,13495,F,347,D
19393,11292,13495,F,424,D
19393,11292,13871,F,391,D
19393,11292,13891,F,385,D
19393,11292,13931,F,417,D
19393,11292,14683,F,481,D
19393,11292,14747,F,417,D
19393,11292,14831,F,330,D
19393,11292,14893,F,350,D
19393,11292,15376,F,374,D
19393,12339,11292,F,395,D
19393,12954,11292,F,380,D
19393,13495,11292,F,427,D
19393,13871,11292,F,311,D
19393,13891,11292,F,400,D
19393,13931,11292,F,508,D
20452,10140,11292,F,203,D
20452,10599,11292,F,144,D
20452,11042,11292,F,200,D
20452,11292,10140,F,193,D
20452,11292,10693,F,190,D
20452,11292,11540,F,169,D
20452,11292,13244,F,197,D
20452,11292,13851,F,213,D
20452,11292,15919,F,122,D
20452,11298,11292,F,198,D
20452,11423,11292,F,196,D
20452,13244,11292,F,200,D
20452,13487,11292,F,198,D
20452,13495,11292,F,197,D
20452,13871,11292,F,206,D
20452,14683,11292,F,192,D
20452,15919,11292,F,130,D
20436,11003,11292,F,425,D
20436,11292,11003,F,424,D
20436,11292,12339,F,445,D
20436,12339,11292,F,517,D
20436,13487,11292,F,381,D
20237,10620,11292,F,126,D
20237,11292,10620,F,100,D
20237,11292,14783,F,123,D
20237,11292,14814,F,132,D
20237,11292,15376,F,141,D
20237,13198,11292,F,143,D
20237,14814,11292,F,92,D
20237,15376,11292,F,139,D
20366,13930,11109,F,142,D
19917,13891,11292,G,0,D
21167,11921,12892,F,126,D
21167,12892,11921,F,169,D
19805,11292,11298,F,483,D
19805,11298,11292,F,541,D
20500,10140,11292,F,210,D
20500,11292,10140,F,265,D
20500,11292,11298,F,255,D
20500,11298,11292,F,274,D
20304,11292,11884,F,188,D
20304,11292,13486,F,260,D
20304,11292,13487,F,277,D
20304,11292,14783,F,236,D
20304,11413,12892,F,164,D
20304,11884,11292,F,187,D
20304,12892,11413,F,160,D
20304,13198,11292,F,191,D
20304,13486,11292,F,168,D
20304,13487,11292,F,293,D
20304,13871,11292,F,144,D
20304,14783,11292,F,253,D
19977,10397,11292,F,462,D
19977,10849,11292,F,509,D
19977,11003,11292,F,395,D
19977,11066,11292,F,577,D
19977,11066,11292,F,540,D
19977,11193,11292,F,438,D
19977,11292,10713,F,555,D
19977,11292,10849,F,623,D
19977,11292,11057,F,571,D
19977,11292,11066,F,588,D
19977,11292,11066,F,503,D
19977,11292,11603,F,479,D
19977,11292,11648,F,545,D
19977,11292,12982,F,638,D
19977,11292,13485,F,754,D
19977,11292,13495,F,456,D
19977,11292,14100,F,615,D
19977,11292,14100,F,397,D
19977,11292,14570,F,497,D
19977,11292,14771,F,668,D
19977,11433,11292,F,684,D
19977,11648,11292,F,397,D
19977,12982,11292,F,642,D
19977,13485,11292,F,617,D
19977,14570,11292,F,650,D
19393,10140,11292,F,660,D
19393,10994,11292,F,624,D
19393,11292,10423,F,506,D
19393,11292,13931,F,651,D
19393,11292,14679,F,549,D
19393,11292,14683,F,553,D
19393,11292,14831,F,677,D
19393,13342,11292,F,561,D
19393,13487,11292,F,543,D
19393,13931,11292,F,542,D
19393,14683,11292,F,649,D
19393,14869,11292,F,516,D
19393,15376,11292,F,551,D
20452,11292,12339,F,276,D
20452,11292,14683,F,256,D
20452,11540,11292,F,242,D
20452,14869,11292,F,208,D
20436,11292,13342,F,693,D
20436,11292,14908,F,561,D
20436,13342,11292,F,577,D
20436,14908,11292,F,567,D
20422,11292,13487,F,505,D
20237,11292,12278,F,185,D
20237,12278,11292,F,158,D
20398,13502,13930,F,146,D
20398,13930,13502,F,211,D
19917,11292,10800,G,0,D
